id,Cyto,Cyto_num,PH,TT,ET,FGN,FGW,SF,DF,HI,PE,SES,SEL
1,HK,1,119.03,4.75,3.25,79.88,1.46,43.73,81,0.11,89.81,6.33,2
2,HK,1,122.32,4.33,3.83,84,1.63,44.24,72.83,0.1,90.55,5.44,1
3,HK,1,107.39,3.33,3,97,2.05,52.59,74,0.14,89.54,4.56,1
4,HK,1,90.92,5.67,3.67,74.33,1.2,34.9,69.83,0.14,90.55,7,2
5,HK,1,90.15,4.25,3.25,44.75,0.87,34.67,86.2,0.08,89.98,4.78,1
6,HK,1,129.18,4.2,3.4,47.6,0.93,34.27,77,0.07,90.55,5.22,1
7,HK,1,116.92,5,3.75,97,2.07,53.45,68.8,0.12,89.34,5.44,1
8,HK,1,146.55,4.6,3.4,101.4,2.39,46.43,90,0.1,90.55,5.33,1
9,HK,1,103.48,4.75,4,176,3.32,70.07,64,0.93,90.55,5.44,1
10,HK,1,106.03,2.6,2.4,56.2,1.1,63.5,67,0.13,90.55,6.44,2
11,HK,1,100.08,3.5,3.25,50.75,1.27,50.3,73.5,0.13,89.98,6.44,2
12,HK,1,136.96,2.75,2.5,99.75,2.48,76.74,78.5,0.14,90.55,5.22,1
13,HK,1,114.49,2.83,2.17,81.5,1.65,77.13,61,0.16,90.55,5.44,1
14,HK,1,88.77,6.25,2.75,65,1.31,61.29,83.5,0.12,90.55,4.33,1
15,HK,1,127.83,3.25,3,76.75,1.14,43.16,104.2,0.1,90.55,6.11,2
16,HK,1,100.74,4.6,4.4,118.8,2.42,47.48,65.2,0.16,88.74,5.33,1
17,HK,1,129.41,3.8,3,67.2,1.55,52.6,74.2,0.09,90.55,6,2
18,HK,1,49.33,7,3,42,0.5,25.93,73.33,0.08,90.55,6.89,2
19,HK,1,111.84,4,3.67,99,2.15,64.61,63.33,0.16,87.83,4.56,1
20,HK,1,106.42,5.25,4,134.75,2.18,47.88,74.2,0.15,90.55,5,1
21,HK,1,88.83,4.13,3,76.38,1.51,55.3,67.5,0.16,87.34,5,1
22,HK,1,84.44,3,2.33,47,0.84,59.36,70.5,0.09,87.53,6.33,2
23,HK,1,132.97,3.67,2.83,106.5,1.69,41.99,72,0.13,90.55,5.33,1
24,HK,1,130.25,3.8,3.2,106.6,1.78,61.4,74.2,0.13,90.55,5.44,1
25,HK,1,106.45,4.33,3.67,111.67,2.36,57.94,79,0.19,90.55,5.78,2
26,HK,1,103.27,4.33,3.67,34.33,0.75,33.42,71.5,0.06,83.5,6.44,2
27,HK,1,85.36,3.83,2.5,106,1.77,71.93,70.2,0.15,86.77,6,2
28,HK,1,94.28,4.2,2.8,81.6,1.56,77.32,67,0.14,90.55,6,2
29,HK,1,96.04,4.5,2.17,95,1.65,75.05,79,0.13,89.04,6.11,2
30,HK,1,103.05,7,3,42.33,0.95,39.9,100,0.08,90.55,4.89,1
31,HK,1,90.88,4.33,3.67,90.67,1.94,52.51,72,0.15,90.55,5,1
32,HK,1,116.58,2.5,2,57.75,1,58.78,78.25,0.1,90.55,6.89,2
33,HK,1,110.35,4.67,3.67,126.67,2.23,47.96,71.67,0.16,90.55,5.61,2
34,HK,1,91.52,5.33,4,86.67,1.73,52.95,74.2,0.11,87.93,4.33,1
35,HK,1,115.5,3.25,1.75,98,2.2,80.55,79.5,0.21,89.42,6.44,2
36,HK,1,103.14,4.33,3.33,114.33,2.66,56.79,69,0.16,82.5,5.56,1
37,HK,1,102.72,5,3.67,144,2.82,71.1,59,0.21,90.04,5.33,1
38,HK,1,84.58,3.5,2.5,83,1.47,48.55,103.67,0.11,90.55,6.67,2
39,HK,1,124.5,3,2,105.5,2.23,76.11,79,0.19,90.55,5.44,1
40,HK,1,116.48,7,5.5,233.5,4.8,80.94,68,0.14,90.55,5.89,2
41,HK,1,112.3,4.17,3.83,149.33,2.66,62.72,70.4,0.15,90.55,5.44,1
42,HK,1,67.39,5.75,4.25,78.75,1.51,70.6,67.33,0.13,89.23,5.78,2
43,HK,1,98.04,4.67,3.67,134,2.81,64.78,65,0.2,88.03,5,1
44,HK,1,86.95,5.33,4,61.67,0.92,40.68,83.6,0.09,90.55,5.67,2
45,HK,1,130.33,3.6,3.4,105.5,2.2,58.04,85.5,0.1,90.55,4.89,1
46,HK,1,90.51,4.4,3.4,40,0.71,32.16,85.67,0.08,90.55,6.11,2
47,HK,1,125.19,3.43,2.57,89.43,2.02,67.3,71.14,0.12,89.9,6.22,2
48,HK,1,105.85,3,2.4,80.8,1.45,62.07,64,0.13,90.55,6.67,2
49,HK,1,86.77,4.13,3.13,95.25,1.72,48.96,68.5,0.15,86.4,5.56,1
51,HK,1,92.58,2.5,2.5,84.5,1.85,48.57,73,0.25,89.04,5.67,2
52,HK,1,118.15,4.17,3.33,78.83,1.7,40.99,77.17,0.1,88.03,5.67,2
53,HK,1,118.35,5,3,57,1.33,42.29,80,0.12,89.95,5.44,1
54,HK,1,108.5,3.5,3,41.5,0.99,48.59,74.33,0.15,89.04,5.11,1
55,HK,1,112.89,4.33,3.33,49.33,1.01,25.97,72.67,0.12,90.55,5.78,2
56,HK,1,102.54,4.5,2.75,52.25,0.93,33.94,76.4,0.12,90.55,6.22,2
57,HK,1,93.92,3.25,3,45.5,0.79,31.08,67.75,0.08,86.6,5.67,2
58,HK,1,82.94,4.75,2.75,42.75,0.89,46.95,69.4,0.1,85.46,3.89,1
59,HK,1,112.4,4,2.8,68.6,1.55,53.27,73.4,0.1,90.55,5.22,1
61,HK,1,123.83,3.67,3.33,171,3.42,61.65,74.33,0.18,90.55,5.89,2
64,HK,1,106.91,5.4,4.4,105.8,2.04,44.52,61.67,0.11,88.29,6.11,2
65,HK,1,62.07,5,3,77.67,1.28,64.63,70,0.16,88.54,7,2
66,IR,2,112.49,6.59,3.79,39.33,0.7,11.23,86.36,0.1,86.24,5.17,1
67,IR,2,106.14,3.87,3.01,159.35,3.52,89.74,66.16,0.29,95.87,4.11,1
68,IR,2,108.54,5.7,5.02,342.38,6.91,112.32,67.17,0.56,94.79,4.94,1
72,IR,2,107.72,7.53,4.1,156.05,4.21,73.35,76.76,0.24,92.8,3.39,1
73,IR,2,113.88,0,0,117.04,2.56,48.22,78.28,0.24,94.22,5.22,1
75,IR,2,120.16,3.73,3.01,167.2,4.38,95.2,60.1,0.49,99.19,4.94,1
76,IR,2,107.13,6.13,4.51,250.42,4.3,96.73,61.11,0.45,95.85,4.28,1
