id,Cyto,Cyto_num,SRWC,SL,RL,Total_chl,SES,K,Na,KbyNa
1,HK,1,69.69,32.87,7.48,5.05,6.33,0.72,1.88,0.383
2,HK,1,67.78,38.67,9.33,5.66,5.44,0.72,1.9,0.3789
3,HK,1,68.39,39.06,8.09,4.21,4.56,0.74,2.12,0.3491
4,HK,1,72,26.3,9.67,5.2,7,0.58,2.84,0.2042
5,HK,1,65.59,32.92,10.58,5.23,4.78,0.7,2.18,0.3211
6,HK,1,85.41,41.78,8.69,6.66,5.22,0.83,1.95,0.4256
7,HK,1,76.51,41.2,8.92,5.83,5.44,0.67,2.15,0.3116
8,HK,1,63.97,41.59,12.92,4.95,5.33,0.78,1.9,0.4105
9,HK,1,73.19,32.58,8.05,5.71,5.44,0.8,2.3,0.3478
10,HK,1,77.21,35.84,10.01,5.78,6.44,0.68,2.75,0.2473
11,HK,1,77.33,36.52,9.45,4.89,6.44,0.62,2.93,0.2116
12,HK,1,67.64,41.39,13.26,5.82,5.22,0.67,2.35,0.2851
13,HK,1,66.58,41.69,10.05,5.88,5.44,0.82,2.59,0.3166
14,HK,1,71.65,34.58,15.34,4.38,4.33,0.74,2.54,0.2913
15,HK,1,70.07,40.32,10.96,5.25,6.11,0.67,2.95,0.2271
16,HK,1,69.91,44.32,7.94,5.55,5.33,0.92,2.3,0.4
17,HK,1,66,42.56,12.24,4.91,6,0.76,2.49,0.3052
18,HK,1,62.69,29.41,8.39,5.16,6.89,0.43,2.1,0.2048
19,HK,1,67.09,40.71,10.05,4.53,4.56,0.84,2.29,0.3668
20,HK,1,65.14,41.49,12.32,5.66,5,0.71,2.79,0.2545
21,HK,1,65.73,34.67,9.9,5.66,5,0.76,2.82,0.2695
22,HK,1,60.92,35.94,10.81,5.61,6.33,0.65,2.64,0.2462
23,HK,1,74.6,41.88,12.24,6.83,5.33,0.63,2.1,0.3
24,HK,1,65.77,39.84,10.2,6.46,5.44,0.76,2.64,0.2879
25,HK,1,79.12,30,6.61,6.09,5.78,0.67,2.95,0.2271
26,HK,1,64.75,41.78,11.71,3.81,6.44,0.71,2.74,0.2591
27,HK,1,64.46,33.99,9.52,4.6,6,0.63,2.56,0.2461
28,HK,1,69.75,33.31,12.85,6.48,6,0.76,2.41,0.3154
29,HK,1,81.83,34.19,9.37,5.49,6.11,0.53,2.47,0.2146
30,HK,1,66.4,33.8,9.83,5.49,4.89,0.5,1.98,0.2525
31,HK,1,78.8,36.67,10.32,6.58,5,0.61,2.64,0.2311
32,HK,1,73.79,30.78,12.81,3.83,6.89,0.45,2.68,0.1679
33,HK,1,75.49,28.59,7.82,5.79,5.61,0.43,2.48,0.1734
34,HK,1,69.77,36.91,12.47,5.69,4.33,0.79,2.3,0.3435
35,HK,1,71.39,34.09,10.51,5.31,6.44,0.74,2.61,0.2835
36,HK,1,63.26,34.77,8.01,5.35,5.56,0.66,2.45,0.2694
37,HK,1,70,41.1,10.51,5.84,5.33,0.72,2.05,0.3512
38,HK,1,72.05,31.26,9.64,5.35,6.67,0.75,2.74,0.2737
39,HK,1,72.89,41.1,10.05,4.75,5.44,0.58,2.3,0.2522
40,HK,1,71.27,36.04,8.84,5.13,5.89,0.58,2.57,0.2257
41,HK,1,63.05,39.74,12.09,6.23,5.44,0.62,1.88,0.3298
42,HK,1,67.93,30.49,9.9,6.46,5.78,0.58,2.39,0.2427
